order hmax drag lift deform_x deform_y

2 1.20e-01  2.1708394e-21 -1.6606840e-19 -3.5391590e-11  1.3040121e-09
2 6.00e-02  2.7800143e-20  1.4225048e-19 -3.5536838e-11  1.3040635e-09
2 3.00e-02  1.0835060e-20  4.0271772e-19 -3.5562205e-11  1.3039508e-09
2 1.50e-02  3.2345973e-20 -1.0254714e-18 -3.5570984e-11  1.3036511e-09

3 1.20e-01 -2.2544100e-20  5.7857355e-20 -3.5611094e-11  1.3040791e-09
3 6.00e-02 -8.4433511e-20  1.2125173e-19 -3.5603066e-11  1.3039397e-09
3 3.00e-02 -9.7564830e-21 -6.8953603e-19 -3.5580972e-11  1.3036586e-09

4 1.20e-01 -2.1295436e-20 -6.1026439e-20 -3.5608307e-11  1.3039999e-09
4 6.00e-02 -5.3558346e-20 -2.7068358e-19 -3.5590554e-11  1.3037751e-09
4 3.00e-02  5.2232045e-20 -7.2177473e-19 -3.5554861e-11  1.3033308e-09
