pt cod
-3.0000e-01 0.000000e+00
-2.9799e-01 0.000000e+00
-2.9599e-01 0.000000e+00
-2.9398e-01 0.000000e+00
-2.9197e-01 0.000000e+00
-2.8997e-01 0.000000e+00
-2.8796e-01 0.000000e+00
-2.8595e-01 0.000000e+00
-2.8395e-01 0.000000e+00
-2.8194e-01 0.000000e+00
-2.7993e-01 0.000000e+00
-2.7793e-01 0.000000e+00
-2.7592e-01 0.000000e+00
-2.7391e-01 0.000000e+00
-2.7191e-01 0.000000e+00
-2.6990e-01 0.000000e+00
-2.6789e-01 0.000000e+00
-2.6589e-01 0.000000e+00
-2.6388e-01 0.000000e+00
-2.6187e-01 0.000000e+00
-2.5987e-01 0.000000e+00
-2.5786e-01 0.000000e+00
-2.5585e-01 0.000000e+00
-2.5385e-01 0.000000e+00
-2.5184e-01 0.000000e+00
-2.4983e-01 0.000000e+00
-2.4783e-01 0.000000e+00
-2.4582e-01 0.000000e+00
-2.4381e-01 0.000000e+00
-2.4181e-01 0.000000e+00
-2.3980e-01 0.000000e+00
-2.3779e-01 0.000000e+00
-2.3579e-01 0.000000e+00
-2.3378e-01 0.000000e+00
-2.3177e-01 0.000000e+00
-2.2977e-01 0.000000e+00
-2.2776e-01 0.000000e+00
-2.2575e-01 0.000000e+00
-2.2375e-01 0.000000e+00
-2.2174e-01 0.000000e+00
-2.1973e-01 0.000000e+00
-2.1773e-01 0.000000e+00
-2.1572e-01 0.000000e+00
-2.1371e-01 0.000000e+00
-2.1171e-01 0.000000e+00
-2.0970e-01 0.000000e+00
-2.0769e-01 0.000000e+00
-2.0569e-01 0.000000e+00
-2.0368e-01 0.000000e+00
-2.0167e-01 0.000000e+00
-1.9967e-01 1.826133e-03
-1.9766e-01 4.819349e-03
-1.9565e-01 6.551074e-03
-1.9365e-01 7.899752e-03
-1.9164e-01 9.038511e-03
-1.8963e-01 1.003904e-02
-1.8763e-01 1.093934e-02
-1.8562e-01 1.176244e-02
-1.8361e-01 1.252357e-02
-1.8161e-01 1.323344e-02
-1.7960e-01 1.389989e-02
-1.7759e-01 1.452890e-02
-1.7559e-01 1.512515e-02
-1.7358e-01 1.569237e-02
-1.7157e-01 1.623360e-02
-1.6957e-01 1.675137e-02
-1.6756e-01 1.724778e-02
-1.6555e-01 1.772463e-02
-1.6355e-01 1.818346e-02
-1.6154e-01 1.862560e-02
-1.5953e-01 1.905221e-02
-1.5753e-01 1.946432e-02
-1.5552e-01 1.986282e-02
-1.5351e-01 2.024852e-02
-1.5151e-01 2.062214e-02
