pt cod_pf cod_pt
-3.0000e-01 1.964629e-05 0.000000e+00
-2.5714e-01 3.113548e-05 0.000000e+00
-2.1429e-01 -1.489883e-05 0.000000e+00
-1.7143e-01 1.710341e-02 1.724163e-02
-1.2857e-01 2.364512e-02 2.376928e-02
-8.5714e-02 2.730460e-02 2.740870e-02
-4.2857e-02 2.927457e-02 2.936452e-02
0.0000e+00 2.992951e-02 3.002719e-02
4.2857e-02 2.936342e-02 2.946949e-02
8.5714e-02 2.740969e-02 2.751752e-02
1.2857e-01 2.368365e-02 2.380116e-02
1.7143e-01 1.706596e-02 1.720184e-02
2.1429e-01 2.078245e-05 0.000000e+00
2.5714e-01 3.127038e-05 0.000000e+00
3.0000e-01 1.820442e-05 0.000000e+00
